id,vocation
0,UTILITY
1,SCHOOL BUS
2,LINEN DELIVERY
3,PARCEL DELIVERY
4,UTILITY
5,BEVERAGE DELIVERY
6,SCHOOL BUS
7,LOCAL DELIVERY
8,SCHOOL BUS
9,LINEHAUL 
10,FREIGHT
11,BEVERAGE DELIVERY
12,PARCEL DELIVERY
13,CONCRETE
14,DUMP TRUCK
15,BEVERAGE DELIVERY
16,SCHOOL BUS
17,UTILITY
18,CONCRETE
19,PARCEL DELIVERY
20,TELECOM
21,LINEHAUL 
24,PARCEL DELIVERY
25,LINEHAUL 
26,SCHOOL BUS
28,DRAYAGE
29,FREIGHT
30,REFUSE PICKUP
32,LINEN DELIVERY
33,MASS TRANSIT
34,SCHOOL BUS
35,FOOD DELIVERY
36,BEVERAGE DELIVERY
37,FOOD DELIVERY
38,SCHOOL BUS
39,TRANSFER TRUCK
40,DRY VAN
41,SCHOOL BUS
42,SCHOOL BUS
43,PARCEL DELIVERY
44,MASS TRANSIT
45,REFUSE PICKUP
46,BEVERAGE DELIVERY
47,BEVERAGE DELIVERY
48,LINEHAUL 
49,BEVERAGE DELIVERY
50,FOOD DELIVERY
51,PARCEL DELIVERY
52,SCHOOL BUS
53,FREIGHT
54,MASS TRANSIT
55,TANKER
56,SCHOOL BUS
57,LINEHAUL 
58,BEVERAGE DELIVERY
59,SCHOOL BUS
60,FOOD DELIVERY
61,MASS TRANSIT
62,DRAYAGE
63,PARCEL DELIVERY
64,UTILITY
65,LINEN DELIVERY
66,PARCEL DELIVERY
67,SCHOOL BUS
68,BEVERAGE DELIVERY
69,MASS TRANSIT
70,LINEHAUL 
71,SCHOOL BUS
72,TELECOM
74,REFUSE PICKUP
75,SCHOOL BUS
76,SCHOOL BUS
77,TRANSFER TRUCK
78,LINEHAUL 
79,SCHOOL BUS
80,SCHOOL BUS
82,SCHOOL BUS
83,SCHOOL BUS
84,BEVERAGE DELIVERY
85,LOCAL DELIVERY
86,SCHOOL BUS
87,BEVERAGE DELIVERY
88,FOOD DELIVERY
89,LINEN DELIVERY
90,SCHOOL BUS
91,SCHOOL BUS
92,TELECOM
93,WAREHOUSE DELIVERY
94,SCHOOL BUS
95,PARCEL DELIVERY
96,PARCEL DELIVERY
97,REFUSE PICKUP
98,SCHOOL BUS
99,WAREHOUSE DELIVERY
100,SCHOOL BUS
101,PARCEL DELIVERY
102,PARCEL DELIVERY
103,SCHOOL BUS
104,MASS TRANSIT
106,LONG HAUL
107,LINEN DELIVERY
108,TANKER
109,REFUSE PICKUP
110,SCHOOL BUS
111,UTILITY
112,TELECOM
113,SCHOOL BUS
114,LONG HAUL
115,SCHOOL BUS
116,PARCEL DELIVERY
117,PARCEL DELIVERY
118,SCHOOL BUS
119,REFRIGERATED TRUCK
120,SNOW PLOW
121,SCHOOL BUS
122,SCHOOL BUS
123,PARCEL DELIVERY
124,FOOD DELIVERY
125,SCHOOL BUS
126,REFUSE PICKUP
127,REFUSE PICKUP
128,BEVERAGE DELIVERY
129,REFUSE PICKUP
130,FOOD DELIVERY
131,LINEHAUL 
132,PARCEL DELIVERY
133,SCHOOL BUS
134,REFUSE PICKUP
135,LINEHAUL 
136,SCHOOL BUS
137,SCHOOL BUS
138,PARCEL DELIVERY
139,FOOD DELIVERY
140,FOOD DELIVERY
141,SCHOOL BUS
142,SNOW PLOW
143,SCHOOL BUS
144,PARCEL DELIVERY
145,SCHOOL BUS
146,LINEHAUL 
147,UTILITY
148,SCHOOL BUS
149,PARCEL DELIVERY
150,DRAYAGE
151,SCHOOL BUS
153,DRAYAGE
154,FOOD DELIVERY
155,SCHOOL BUS
156,LINEHAUL 
157,SCHOOL BUS
158,SCHOOL BUS
159,FOOD DELIVERY
160,DRAYAGE
161,SCHOOL BUS
162,SCHOOL BUS
163,PARCEL DELIVERY
164,REFUSE PICKUP
165,TRANSFER TRUCK
166,SCHOOL BUS
167,TANKER
168,BEVERAGE DELIVERY
169,FREIGHT
170,FOOD DELIVERY
171,TELECOM
172,BEVERAGE DELIVERY
173,LINEHAUL 
174,LONG HAUL
176,BEVERAGE DELIVERY
177,FOOD DELIVERY
178,LONG HAUL
179,FREIGHT
180,LINEHAUL 
182,FOOD DELIVERY
183,PARCEL DELIVERY
184,PARCEL DELIVERY
185,TANKER
186,SCHOOL BUS
187,SCHOOL BUS
189,TANKER
190,SCHOOL BUS
191,SCHOOL BUS
192,REFUSE PICKUP
193,SCHOOL BUS
194,SCHOOL BUS
195,SCHOOL BUS
196,SCHOOL BUS
197,LINEN DELIVERY
198,FOOD DELIVERY
199,SCHOOL BUS
200,PARCEL DELIVERY
201,FOOD DELIVERY
202,PARCEL DELIVERY
203,PARCEL DELIVERY
204,DUMP TRUCK
205,SCHOOL BUS
206,FOOD DELIVERY
207,BEVERAGE DELIVERY
208,REFUSE PICKUP
209,SCHOOL BUS
210,SCHOOL BUS
211,LINEHAUL 
212,SCHOOL BUS
213,BEVERAGE DELIVERY
214,REFRIGERATED TRUCK
215,DRAYAGE
216,SCHOOL BUS
218,FREIGHT
219,REFUSE PICKUP
220,FREIGHT
221,PARCEL DELIVERY
222,SCHOOL BUS
223,PARCEL DELIVERY
224,PARCEL DELIVERY
225,TANKER
227,SCHOOL BUS
228,LOCAL DELIVERY
229,PARCEL DELIVERY
230,PARCEL DELIVERY
231,SCHOOL BUS
232,LINEN DELIVERY
233,SCHOOL BUS
234,PARCEL DELIVERY
235,BEVERAGE DELIVERY
236,UTILITY
237,LINEN DELIVERY
238,PARCEL DELIVERY
239,BEVERAGE DELIVERY
240,SCHOOL BUS
241,SCHOOL BUS
242,BEVERAGE DELIVERY
243,BEVERAGE DELIVERY
244,LINEHAUL 
245,BEVERAGE DELIVERY
246,LINEN DELIVERY
247,BEVERAGE DELIVERY
248,UTILITY
249,BEVERAGE DELIVERY
251,BEVERAGE DELIVERY
252,FREIGHT
253,BEVERAGE DELIVERY
254,LINEHAUL 
255,SCHOOL BUS
256,FOOD DELIVERY
257,SCHOOL BUS
258,BEVERAGE DELIVERY
259,UTILITY
260,SCHOOL BUS
261,MASS TRANSIT
262,WAREHOUSE DELIVERY
263,LINEHAUL 
264,WAREHOUSE DELIVERY
265,LONG HAUL
267,LINEHAUL 
268,FOOD DELIVERY
269,DRAYAGE
270,BEVERAGE DELIVERY
271,REFUSE PICKUP
272,SCHOOL BUS
273,PARCEL DELIVERY
274,SCHOOL BUS
275,PARCEL DELIVERY
276,TRANSFER TRUCK
277,MASS TRANSIT
279,LINEHAUL 
280,TRANSFER TRUCK
281,SCHOOL BUS
282,SCHOOL BUS
283,SCHOOL BUS
284,REGIONAL HAUL 
285,REFUSE PICKUP
286,PARCEL DELIVERY
287,FOOD DELIVERY
288,SCHOOL BUS
289,TANKER
290,TANKER
291,PARCEL DELIVERY
292,SCHOOL BUS
293,REFUSE PICKUP
294,LONG HAUL
296,FREIGHT
297,TELECOM
298,DUMP TRUCK
299,PARCEL DELIVERY
300,LINEHAUL 
301,TRANSFER TRUCK
302,SCHOOL BUS
303,TELECOM
305,LINEHAUL 
306,SCHOOL BUS
307,LONG HAUL
308,BEVERAGE DELIVERY
309,LINEHAUL 
310,BEVERAGE DELIVERY
311,PARCEL DELIVERY
313,REFRIGERATED TRUCK
314,SCHOOL BUS
315,PARCEL DELIVERY
316,FOOD DELIVERY
317,MASS TRANSIT
318,REFUSE PICKUP
319,SCHOOL BUS
320,TRANSFER TRUCK
321,LINEHAUL 
323,UTILITY
324,PARCEL DELIVERY
325,SCHOOL BUS
326,PARCEL DELIVERY
327,REFUSE PICKUP
328,SCHOOL BUS
329,SCHOOL BUS
330,PARCEL DELIVERY
331,FOOD DELIVERY
332,TRANSFER TRUCK
333,LINEN DELIVERY
334,UTILITY
335,PARCEL DELIVERY
336,SCHOOL BUS
337,SCHOOL BUS
338,FOOD DELIVERY
339,PARCEL DELIVERY
340,SCHOOL BUS
341,PARCEL DELIVERY
342,TANKER
343,PARCEL DELIVERY
344,MASS TRANSIT
345,TRANSFER TRUCK
346,FOOD DELIVERY
347,REFUSE PICKUP
348,REFUSE PICKUP
349,SCHOOL BUS
350,BEVERAGE DELIVERY
351,SCHOOL BUS
352,LINEHAUL 
353,REFUSE PICKUP
354,LINEN DELIVERY
355,SCHOOL BUS
356,TRANSFER TRUCK
357,LINEN DELIVERY
358,REFUSE PICKUP
359,MASS TRANSIT
360,BEVERAGE DELIVERY
361,SCHOOL BUS
362,REFUSE PICKUP
363,MASS TRANSIT
364,SCHOOL BUS
365,LINEHAUL 
366,LINEHAUL 
367,TELECOM
368,SCHOOL BUS
370,UTILITY
371,PARCEL DELIVERY
372,UTILITY
373,LINEN DELIVERY
374,SCHOOL BUS
375,BEVERAGE DELIVERY
376,MASS TRANSIT
377,REFUSE PICKUP
378,SCHOOL BUS
379,FOOD DELIVERY
380,PARCEL DELIVERY
381,TELECOM
382,WAREHOUSE DELIVERY
383,SCHOOL BUS
384,PARCEL DELIVERY
385,SCHOOL BUS
386,SCHOOL BUS
387,SCHOOL BUS
388,PARCEL DELIVERY
389,MASS TRANSIT
390,TANKER
391,SCHOOL BUS
392,REFUSE PICKUP
393,REFUSE PICKUP
394,SCHOOL BUS
395,LINEHAUL 
396,TELECOM
398,FOOD DELIVERY
399,SCHOOL BUS
400,DRAYAGE
401,SCHOOL BUS
402,TANKER
403,LINEHAUL 
404,TELECOM
405,LINEHAUL 
406,FOOD DELIVERY
407,LINEHAUL 
408,LINEHAUL 
409,UTILITY
410,PARCEL DELIVERY
411,SCHOOL BUS
412,REFUSE PICKUP
413,SCHOOL BUS
414,REFUSE PICKUP
415,FREIGHT
416,BEVERAGE DELIVERY
417,LONG HAUL
418,LINEHAUL 
419,SCHOOL BUS
420,LINEHAUL 
421,LINEHAUL 
422,PARCEL DELIVERY
423,SCHOOL BUS
424,SCHOOL BUS
425,TRANSFER TRUCK
426,REFRIGERATED TRUCK
427,SCHOOL BUS
428,FREIGHT
429,TELECOM
430,UTILITY
431,PARCEL DELIVERY
432,SNOW PLOW
433,SCHOOL BUS
434,REFUSE PICKUP
435,SCHOOL BUS
436,PARCEL DELIVERY
437,SCHOOL BUS
438,REFUSE PICKUP
439,SCHOOL BUS
441,TRANSFER TRUCK
442,BEVERAGE DELIVERY
443,DRAYAGE
444,BEVERAGE DELIVERY
445,SCHOOL BUS
446,DRAYAGE
447,LINEHAUL 
448,REFUSE PICKUP
449,SCHOOL BUS
450,SCHOOL BUS
451,SCHOOL BUS
452,PARCEL DELIVERY
453,LINEHAUL 
455,PARCEL DELIVERY
456,LINEHAUL 
457,SCHOOL BUS
458,LONG HAUL
459,SCHOOL BUS
460,PARCEL DELIVERY
461,REFUSE PICKUP
462,UTILITY
463,BEVERAGE DELIVERY
464,TRANSFER TRUCK
465,LOCAL DELIVERY
466,SCHOOL BUS
467,TRANSFER TRUCK
468,BEVERAGE DELIVERY
469,TRANSFER TRUCK
470,DRAYAGE
471,WAREHOUSE DELIVERY
472,SCHOOL BUS
473,SCHOOL BUS
474,TRANSFER TRUCK
475,REFUSE PICKUP
476,LINEHAUL 
477,SCHOOL BUS
478,SCHOOL BUS
479,MASS TRANSIT
481,BEVERAGE DELIVERY
482,LINEHAUL 
483,SCHOOL BUS
484,BEVERAGE DELIVERY
485,TRANSFER TRUCK
486,SCHOOL BUS
487,LINEN DELIVERY
488,PARCEL DELIVERY
489,LINEHAUL 
490,LINEHAUL 
491,LINEHAUL 
492,LINEHAUL 
493,FOOD DELIVERY
494,SCHOOL BUS
495,SCHOOL BUS
496,FREIGHT
497,SCHOOL BUS
498,PARCEL DELIVERY
499,SCHOOL BUS
500,DRAYAGE
501,BEVERAGE DELIVERY
502,SCHOOL BUS
503,PARCEL DELIVERY
504,REFUSE PICKUP
505,BEVERAGE DELIVERY
506,BEVERAGE DELIVERY
507,REFUSE PICKUP
508,DUMP TRUCK
509,SCHOOL BUS
510,DRAYAGE
511,TANKER
512,TELECOM
513,PARCEL DELIVERY
515,SCHOOL BUS
516,DRAYAGE
517,LINEHAUL 
518,SCHOOL BUS
519,LINEHAUL 
521,PARCEL DELIVERY
522,FOOD DELIVERY
523,TOWING
524,MASS TRANSIT
525,PARCEL DELIVERY
526,FOOD DELIVERY
527,TELECOM
528,REFUSE PICKUP
529,SCHOOL BUS
530,SCHOOL BUS
533,BEVERAGE DELIVERY
534,DRAYAGE
535,DRAYAGE
536,LINEHAUL 
537,DRAYAGE
538,LINEHAUL 
539,REFUSE PICKUP
540,MASS TRANSIT
541,REFUSE PICKUP
542,PARCEL DELIVERY
543,LOCAL DELIVERY
544,LINEHAUL 
545,PARCEL DELIVERY
546,FOOD DELIVERY
547,TRANSFER TRUCK
548,LINEHAUL 
549,PARCEL DELIVERY
550,LINEN DELIVERY
551,UTILITY
552,PARCEL DELIVERY
554,REFRIGERATED TRUCK
555,SCHOOL BUS
556,SNOW PLOW
558,TRANSFER TRUCK
559,PARCEL DELIVERY
560,LINEHAUL 
561,SCHOOL BUS
563,SCHOOL BUS
564,SCHOOL BUS
565,SCHOOL BUS
566,PARCEL DELIVERY
567,REFUSE PICKUP
568,REFUSE PICKUP
569,LINEHAUL 
570,PARCEL DELIVERY
571,BEVERAGE DELIVERY
572,TRANSFER TRUCK
573,SCHOOL BUS
574,SNOW PLOW
575,FREIGHT
576,SCHOOL BUS
577,SCHOOL BUS
578,SCHOOL BUS
579,SCHOOL BUS
580,SCHOOL BUS
581,SCHOOL BUS
583,BEVERAGE DELIVERY
584,BEVERAGE DELIVERY
585,FOOD DELIVERY
586,TANKER
587,LINEHAUL 
588,SCHOOL BUS
589,LINEHAUL 
590,FREIGHT
591,PARCEL DELIVERY
592,LINEHAUL 
593,MASS TRANSIT
594,SCHOOL BUS
596,FOOD DELIVERY
597,TANKER
598,SCHOOL BUS
599,BEVERAGE DELIVERY
600,PARCEL DELIVERY
601,FOOD DELIVERY
602,LINEHAUL 
603,SCHOOL BUS
604,SCHOOL BUS
605,SCHOOL BUS
606,DRAYAGE
608,SCHOOL BUS
609,DRY VAN
610,LINEHAUL 
611,TANKER
612,SCHOOL BUS
613,TRANSFER TRUCK
614,LINEHAUL 
615,DRAYAGE
616,PARCEL DELIVERY
618,PARCEL DELIVERY
619,DRAYAGE
620,DUMP TRUCK
621,TELECOM
623,PARCEL DELIVERY
624,SCHOOL BUS
625,SCHOOL BUS
626,FREIGHT
627,SCHOOL BUS
628,SCHOOL BUS
629,SCHOOL BUS
630,SNOW PLOW
631,DUMP TRUCK
632,PARCEL DELIVERY
633,SCHOOL BUS
634,PARCEL DELIVERY
635,PARCEL DELIVERY
636,SCHOOL BUS
637,SCHOOL BUS
638,PARCEL DELIVERY
639,FOOD DELIVERY
640,SCHOOL BUS
641,LINEN DELIVERY
643,TRANSFER TRUCK
644,LINEN DELIVERY
645,PARCEL DELIVERY
646,TANKER
647,SCHOOL BUS
648,UTILITY
649,UTILITY
651,PARCEL DELIVERY
652,LINEN DELIVERY
653,FREIGHT
654,LINEHAUL 
655,FREIGHT
656,PARCEL DELIVERY
657,LINEHAUL 
658,FOOD DELIVERY
659,SCHOOL BUS
660,SCHOOL BUS
661,PARCEL DELIVERY
662,PARCEL DELIVERY
663,SCHOOL BUS
666,REFUSE PICKUP
667,LINEN DELIVERY
668,SCHOOL BUS
669,PARCEL DELIVERY
670,SCHOOL BUS
672,TELECOM
673,TANKER
674,PARCEL DELIVERY
675,PARCEL DELIVERY
676,FREIGHT
677,TELECOM
678,LINEHAUL 
679,PARCEL DELIVERY
680,LINEHAUL 
681,SCHOOL BUS
682,SCHOOL BUS
683,MASS TRANSIT
684,SCHOOL BUS
685,LOCAL DELIVERY
686,LINEHAUL 
687,SCHOOL BUS
688,LONG HAUL
689,SCHOOL BUS
690,SCHOOL BUS
691,FOOD DELIVERY
692,DRAYAGE
693,TANKER
694,SCHOOL BUS
695,SCHOOL BUS
696,WAREHOUSE DELIVERY
698,UTILITY
699,PARCEL DELIVERY
700,PARCEL DELIVERY
702,SCHOOL BUS
703,SCHOOL BUS
704,PARCEL DELIVERY
705,PARCEL DELIVERY
706,TRANSFER TRUCK
707,SCHOOL BUS
708,PARCEL DELIVERY
709,SCHOOL BUS
710,MASS TRANSIT
711,PARCEL DELIVERY
712,LINEN DELIVERY
713,SNOW PLOW
714,FOOD DELIVERY
715,FOOD DELIVERY
716,LINEHAUL 
717,PARCEL DELIVERY
719,LINEN DELIVERY
720,SCHOOL BUS
721,SNOW PLOW
722,FOOD DELIVERY
723,SCHOOL BUS
724,LINEHAUL 
725,TANKER
726,FOOD DELIVERY
727,SCHOOL BUS
728,SCHOOL BUS
729,FOOD DELIVERY
730,SCHOOL BUS
731,LINEHAUL 
732,PARCEL DELIVERY
733,MASS TRANSIT
734,LINEHAUL 
735,FREIGHT
736,SCHOOL BUS
737,PARCEL DELIVERY
738,BEVERAGE DELIVERY
739,SCHOOL BUS
740,PARCEL DELIVERY
741,DRAYAGE
742,BEVERAGE DELIVERY
743,BEVERAGE DELIVERY
744,SCHOOL BUS
745,TELECOM
746,UTILITY
747,UTILITY
749,LINEHAUL 
750,SCHOOL BUS
751,SCHOOL BUS
752,SCHOOL BUS
753,PARCEL DELIVERY
754,DRY VAN
755,SCHOOL BUS
756,SCHOOL BUS
757,FREIGHT
758,FOOD DELIVERY
759,LINEN DELIVERY
760,PARCEL DELIVERY
761,BEVERAGE DELIVERY
762,REFUSE PICKUP
763,BEVERAGE DELIVERY
764,FOOD DELIVERY
765,SCHOOL BUS
766,TANKER
767,REFUSE PICKUP
768,PARCEL DELIVERY
769,REFUSE PICKUP
770,REFUSE PICKUP
771,LONG HAUL
773,FOOD DELIVERY
774,SCHOOL BUS
775,SCHOOL BUS
776,REFUSE PICKUP
777,SCHOOL BUS
778,PARCEL DELIVERY
779,SCHOOL BUS
780,FOOD DELIVERY
781,SCHOOL BUS
782,REFRIGERATED TRUCK
783,SCHOOL BUS
784,DRAYAGE
785,SCHOOL BUS
787,LOCAL DELIVERY
788,SCHOOL BUS
789,SCHOOL BUS
790,SCHOOL BUS
791,TOWING
792,PARCEL DELIVERY
793,SCHOOL BUS
794,MASS TRANSIT
795,WAREHOUSE DELIVERY
796,MASS TRANSIT
797,UTILITY
798,SCHOOL BUS
799,LINEN DELIVERY
800,PARCEL DELIVERY
801,SCHOOL BUS
802,PARCEL DELIVERY
803,SCHOOL BUS
804,TELECOM
805,TELECOM
806,SCHOOL BUS
807,LINEHAUL 
808,SCHOOL BUS
809,FOOD DELIVERY
810,FOOD DELIVERY
811,LINEHAUL 
813,TANKER
814,TELECOM
815,PARCEL DELIVERY
816,TANKER
817,BEVERAGE DELIVERY
818,UTILITY
819,LINEHAUL 
820,CONCRETE
821,BEVERAGE DELIVERY
822,PARCEL DELIVERY
823,WAREHOUSE DELIVERY
824,TOWING
825,UTILITY
826,SCHOOL BUS
827,PARCEL DELIVERY
828,SCHOOL BUS
829,BEVERAGE DELIVERY
830,PARCEL DELIVERY
831,LONG HAUL
832,SCHOOL BUS
833,PARCEL DELIVERY
835,MASS TRANSIT
836,LINEHAUL 
837,TRANSFER TRUCK
838,LINEHAUL 
839,SCHOOL BUS
840,SCHOOL BUS
841,TRANSFER TRUCK
842,FOOD DELIVERY
843,SCHOOL BUS
844,MASS TRANSIT
845,TANKER
846,PARCEL DELIVERY
847,DRAYAGE
